date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:34:44	462/462	---M-Z	404	error ('Not%20Found')	text/html	etag:%22cc1696-2ea-58d3a47b99abc;58c15402ee4e1-gzip%22	http://hackbpit.iosd.tech/robots.txt		(from )
00:34:45	40930/40930	---M-Z	200	added ('OK')	text/html	etag:%2215a02ea3-9fe2-58367a2f53e0b-gzip%22	http://hackbpit.iosd.tech/	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/index.html	(from )
00:34:46	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22cc1696-2ea-58d3a47b99abc;58c15402ee4e1-gzip%22	http://hackbpit.iosd.tech/images/finalhack.PNG	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/images/finalhack.PNG	(from http://hackbpit.iosd.tech/)
00:34:46	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2215a02e7b-47e-58024d5a87d13%22	http://hackbpit.iosd.tech/img/favicon.ico	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/favicon.ico	(from http://hackbpit.iosd.tech/)
00:34:49	354691/354691	---M--	200	added ('OK')	text/css	etag:%2215a02e66-56983-58024d3e53750%22	http://hackbpit.iosd.tech/css/uikit.css	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/css/uikit.css	(from http://hackbpit.iosd.tech/)
00:34:51	140936/140936	---M--	200	added ('OK')	text/css	etag:%2215a02e56-22688-58024d2e08b80%22	http://hackbpit.iosd.tech/css/bootstrap.min.css	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/css/bootstrap.min.css	(from http://hackbpit.iosd.tech/)
00:34:53	4001/4001	---M--	200	added ('OK')	text/css	etag:%2215a02e61-fa1-58024d31c48c7%22	http://hackbpit.iosd.tech/css/fullpage.min.css	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/css/fullpage.min.css	(from http://hackbpit.iosd.tech/)
00:34:53	3184/3184	---M--	200	added ('OK')	text/css	etag:%2215a02e63-c70-58024d33e30a4%22	http://hackbpit.iosd.tech/css/owl.carousel.css	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/css/owl.carousel.css	(from http://hackbpit.iosd.tech/)
00:34:53	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	G:/Hackbpit/hackbpit/use.fontawesome.com/releases/v5.6.3/css/all.css	(from http://hackbpit.iosd.tech/)
00:34:55	48312/48312	---M--	200	added ('OK')	text/css	etag:%2215a02df0-bcb8-58024d2c3f6f2%22	http://hackbpit.iosd.tech/css/animate.css	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/css/animate.css	(from http://hackbpit.iosd.tech/)
00:34:56	44136/44136	---M--	200	added ('OK')	text/css	etag:%2215a02e65-ac68-58024d3819acc%22	http://hackbpit.iosd.tech/css/style.css	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/css/style.css	(from http://hackbpit.iosd.tech/)
00:34:59	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22cc1696-2ea-58d3a47b99abc;58c15402ee4e1-gzip%22	http://hackbpit.iosd.tech/resources/images/client-01.jpg	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/resources/images/client-01.d.delayed	(from http://hackbpit.iosd.tech/)
00:34:59	15989/15989	---M--	200	added ('OK')	image/png	etag:%2215a00d6c-3e75-580b9d9c7580b%22	http://hackbpit.iosd.tech/img/HackBPIT_RED.png	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/HackBPIT_RED.png	(from http://hackbpit.iosd.tech/)
00:34:59	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22cc1696-2ea-58d3a47b99abc;58c15402ee4e1-gzip%22	http://hackbpit.iosd.tech/resources/images/client-02.jpg	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/resources/images/client-02.jpg	(from http://hackbpit.iosd.tech/)
00:35:00	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22cc1696-2ea-58d3a47b99abc;58c15402ee4e1-gzip%22	http://hackbpit.iosd.tech/resources/images/client-03.jpg	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/resources/images/client-03.jpg	(from http://hackbpit.iosd.tech/)
00:35:01	4877/4877	---M--	200	added ('OK')	image/png	etag:%2215a03e16-130d-58309f5b33b75%22	http://hackbpit.iosd.tech/img/github.png	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/github.png	(from http://hackbpit.iosd.tech/)
00:35:01	7715/7715	---M--	200	added ('OK')	image/svg+xml	etag:%2215a03fa3-1e23-582e23bb469fd%22	http://hackbpit.iosd.tech/img/CNLOGO.svg	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/CNLOGO.svg	(from http://hackbpit.iosd.tech/)
00:35:03	7300/7300	---M--	200	added ('OK')	image/png	etag:%2215a03b4c-1c84-5835cf3f8596e%22	http://hackbpit.iosd.tech/img/bobble.png	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/bobble.png	(from http://hackbpit.iosd.tech/)
00:35:05	14890/14890	---M--	200	added ('OK')	image/jpeg	etag:%2215a03fad-3a2a-582e23ca080b7%22	http://hackbpit.iosd.tech/img/kam.jpeg	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/kam.jpg	(from http://hackbpit.iosd.tech/)
00:35:05	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22cc1696-2ea-58d3a47b99abc;58c15402ee4e1-gzip%22	http://hackbpit.iosd.tech/cdn-cgi/l/email-protection	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/cdn-cgi/l/email-protection.17.delayed	(from http://hackbpit.iosd.tech/)
